SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Other,618 Elmore St,Pittsburgh,PA,15219,13973,,,,,6660,,,,,,,,https://www.redfin.com/PA/Pittsburgh/618-Elmore-St-15219/home/174700054,,,N,Y,40.44628,-79.978053
PAST SALE,September-13-2022,Townhouse,202 Chesterfield,Oakland,PA,15213,190000,3,1.0,Oakland,,,,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/202-Chesterfield-Rd-15213/home/74571164,West Penn MLS,1529512,N,Y,40.4404171,-79.9628429
PAST SALE,September-12-2022,Single Family Residential,4769 Wallingford St,Shadyside,PA,15213,875000,6,3.5,Shadyside,4293,8598,1910,,204,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4769-Wallingford-St-15213/home/73580023,West Penn MLS,1557928,N,Y,40.4524266,-79.9468786
PAST SALE,September-8-2022,Single Family Residential,4808 Cypress St,Bloomfield,PA,15224,296250,2,2.0,Bloomfield,1290,1028,1910,,230,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4808-Cypress-St-15224/home/74661585,West Penn MLS,1569726,N,Y,40.4588555,-79.9475926
PAST SALE,September-8-2022,Condo/Co-op,825 Morewood Ave Unit G11,Shadyside,PA,15213,317620,2,1.5,Shadyside,1176,479,1960,,270,693,Sold,,,https://www.redfin.com/PA/Pittsburgh/825-Morewood-Ave-15213/unit-G11/home/164169189,West Penn MLS,1554738,N,Y,40.4478094,-79.9422552
PAST SALE,September-7-2022,Single Family Residential,3942 Howley St,Lawrenceville,PA,15224,210000,2,1.0,Lawrenceville,1088,1999,1900,,193,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3942-Howley-St-15224/home/74653083,West Penn MLS,1550350,N,Y,40.4632168,-79.9579416
PAST SALE,September-7-2022,Single Family Residential,4936 Ellsworth Ave,Shadyside,PA,15213,605000,4,2.5,Shadyside,1750,5092,1950,,346,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4936-Ellsworth-Ave-15213/home/74664678,West Penn MLS,1563439,N,Y,40.4505539,-79.9435281
PAST SALE,September-2-2022,Single Family Residential,3937 Howley St,Lawrenceville,PA,15224,145000,3,1.0,Lawrenceville,1528,1938,1900,,95,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3937-Howley-St-15224/home/74653184,West Penn MLS,1570014,N,Y,40.4635571,-79.9582758
PAST SALE,September-2-2022,Condo/Co-op,4625 Fifth Ave #206,Oakland,PA,15213,75000,2,1.0,Oakland,1040,,1956,,72,792,Sold,,,https://www.redfin.com/PA/Pittsburgh/4625-Fifth-Ave-15213/unit-206/home/102201775,West Penn MLS,1546084,N,Y,40.4473994,-79.9482013
PAST SALE,September-2-2022,Condo/Co-op,2545 Penn Ave #506,Downtown Pgh,PA,15222,434900,1,1.5,Downtown Pgh,935,,2020,,465,315,Sold,,,https://www.redfin.com/PA/Pittsburgh/2545-Penn-Ave-15222/unit-506/home/145252152,West Penn MLS,1560651,N,Y,40.4548321,-79.9789136
PAST SALE,,Parking,3120 Smallman St,Pittsburgh,PA,15201,438628,,,,,6000,,,,,,,,https://www.redfin.com/PA/Pittsburgh/3120-Smallman-St-15201/home/163821657,,,N,Y,40.4608962,-79.9713735
PAST SALE,August-31-2022,Single Family Residential,406 S Evaline St,Friendship Park,PA,15224,380000,5,3.0,Friendship Park,2483,2530,1900,,153,,Sold,,,https://www.redfin.com/PA/Pittsburgh/406-S-Evaline-St-15224/home/74661759,West Penn MLS,1546008,N,Y,40.4596178,-79.9421539
PAST SALE,August-30-2022,Single Family Residential,245 S Mathilda St,Friendship Park,PA,15224,515000,4,3.5,Friendship Park,2796,3698,1920,,184,,Sold,,,https://www.redfin.com/PA/Pittsburgh/245-S-Mathilda-St-15224/home/74658355,West Penn MLS,1566976,N,Y,40.4636934,-79.9461027
PAST SALE,August-30-2022,Condo/Co-op,128 N Craig St #705,Oakland,PA,15213,270000,2,2.0,Oakland,1336,,1957,,202,843,Sold,,,https://www.redfin.com/PA/Pittsburgh/128-N-Craig-St-15213/unit-705/home/74664814,West Penn MLS,1564607,N,Y,40.4480778,-79.9483198
